video.,100
road,99
@station19,99
sad,99
easy,99
word,99
hot,99
west,99
one.,99
fall,99
happening,99
room,99
puerto,99
country.,99
reason,99
shooting,98
voted,98
force,98
talks,98
pm,98
listening,98
idea,98
they’re,97
who’s,97
mind,97
sweet,97
launch,97
ha,97
un,97
problem,97
probably,97
cast,97
@…,97
tried,97
instead,97
hearing,96
d…,96
career,96
literally,96
research,96
police,96
peace,96
clear,96
bipartisan,96
funny,96
lucky,96
needed,96
people.,96
foreign,96
reading,95
whether,95
what's,95
happen,95
30,95
knows,95
close,95
life.,95
south,95
five,95
donate,95
rock,95
world.,95
major,95
side,95
democratic,94
picture,94
l…,94
#ad,94
champion,94
e…,94
hell,94
dream.,94
bro,94
letter,94
brought,93
lovely,93
reform,93
=,93
hate,93
knew,93
jim,93
millions,93
press,92
mental,92
fuck,92
secretary,92
definitely,92
education,92
leave,92
me!,92
show.,92
award,92
game.,92
current,92
night!,91
