,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago,AgeOfTweet,TweetAgeType
98,katyperry,04/30/2018,Someday my prince will come✨Today I got Happy and Dopey 😑 And now I'm Sleepy. 😴 See you next week 😘 #AmericanIdol https://t.co/9yp0MZeemR,0.7579,0.213,0.0,0.787,902,63,1
99,katyperry,04/30/2018,VOTE ✅ VOTE ✅  VOTE ✅ https://t.co/MZVX4xCyJe @AmericanIdol @RyanSeacrest https://t.co/eejrP8Bmdm,0.0,0.0,0.0,1.0,901,63,1
100,katyperry,04/29/2018,"Not only is it #AmericanIdol, it's @DISNEY-THEMED so prepare for wigs to fly whilst ""letting it go"" ❄ and finding y… https://t.co/C7xDMo1oR0",0.0,0.0,0.0,1.0,900,63,1
101,katyperry,04/29/2018,Honored to be in the presence of His Holiness @Pontifex's compassionate heart and inclusivity. Thank you to… https://t.co/qJXQFSZqaj,0.8591,0.388,0.0,0.612,899,64,1
102,katyperry,04/28/2018,I’m inspired ✨ &amp; encouraged 🤗today &amp; grateful to share how meaningful transcendental meditation has been for me. I… https://t.co/nntQRFHRxO,0.926,0.525,0.0,0.475,898,65,1
103,katyperry,04/27/2018,Are you a BELIEVER❓Listen to @cynthialovely’s new song now https://t.co/q0lCHmz2yg and let me know if you’re a… https://t.co/8ICACAaFjl,0.0,0.0,0.0,1.0,897,66,1
104,katyperry,04/26/2018,🙌🏼🙌🏼🙌🏼 https://t.co/GGFyZwXXX9,0.0,0.0,0.0,1.0,896,67,1
105,katyperry,04/26/2018,You wanna open a big door? Try the kindness key 🗝♥️,0.4588,0.25,0.0,0.75,895,67,1
106,katyperry,04/24/2018,"My ❤ has been on a roller coaster tonight 😭 Congratulations to the Top 🔟 America, if you truly are a fan of one of… https://t.co/wjfode9w5x",0.7783,0.295,0.084,0.622,894,69,1
107,katyperry,04/24/2018,"""It's time to change their minds."" THAT'S THE ATTITUDE, @dennislorenzo 🙌🏼 #americanidol",0.0,0.0,0.0,1.0,893,69,1
108,katyperry,04/24/2018,One singer through 🎤 and two in the danger zone already. 😬 R! U! WATCHING ?? 👀hsiriehfjebdhdha  #americanidol,-0.7746,0.0,0.284,0.716,892,69,1
109,katyperry,04/23/2018,You got the POWER✨Now you can VOTE! 🤝🇺🇸 #AmericanIdol https://t.co/HnRAo9oHBc,0.0,0.0,0.0,1.0,891,70,1
110,katyperry,04/23/2018,What do you mean you don't have the app yet ⁉️THE POWER IS IN YOUR HANDS (literally when you pick up the phone). VO… https://t.co/4nV0mZqVEg,0.0,0.0,0.0,1.0,890,70,1
111,katyperry,04/23/2018,"🚨TUNE IN TONIGHT AT 8/7c FOR YOUR FIRST CHANCE TO VOTE FOR YOUR #AMERICANIDOL⭐🚨 Download the app 📱, vote on… https://t.co/9CocdLMD9i",0.4084,0.12,0.0,0.88,889,70,1
112,katyperry,04/22/2018,"If the word ear is in Earth, maybe we should listen to it. Peace be with you on this beautiful #earthday 👂🏻🌎♥️",0.8452,0.289,0.0,0.711,888,70,1
113,katyperry,04/21/2018,"🌎 Day isn't until Sunday, but I'm proud to announce that @kpcollections will be donating 10% of your purchases from… https://t.co/ihjv75Qtiv",0.631,0.159,0.0,0.841,887,72,1
114,katyperry,04/19/2018,SANTA BARBARIANS! 🌅 Join my friends at @AHASBCal in an amazing living art piece this SATURDAY! You have until noon… https://t.co/jCkkqQB0BV,0.8652,0.35,0.0,0.65,886,74,1
115,katyperry,04/19/2018,I've officially e-scribed 🤝 https://t.co/CYRr0wr7ed,0.0,0.0,0.0,1.0,885,74,1
116,katyperry,04/18/2018,KatyCats! Remember that time I sent y’all on a 🕺disco ball🕺 scavenger hunt? 👀 Apparently it was cool enough to get… https://t.co/vo9G6TGFfs,0.3802,0.12,0.0,0.88,884,75,1
117,katyperry,04/18/2018,@joshgroban go to bed dad you’re drunk,-0.34,0.0,0.286,0.714,883,75,1
118,katyperry,04/18/2018,"high of the day: 0 cavities 🙏🏻
low: @washingtonpost won’t deliver physical newspapers to my zip code. Alas, I guess… https://t.co/tBDKO4naeW",-0.4939,0.0,0.167,0.833,882,75,1
119,katyperry,04/18/2018,talking and communicating are two different things - Rebecca Lynn @VCRebecca 🤝,0.0,0.0,0.0,1.0,881,75,1
120,katyperry,04/16/2018,I have good news and bad news today - ☹️: I won’t be able to live stream #AmericanIdol today but 🙂: I CAN promise y… https://t.co/VSMnfhh1EG,0.3919,0.187,0.086,0.727,880,76,1
121,katyperry,04/15/2018,"Ooh, almost time for another #americanidol! 👏🏼 Going live with my mama again in under an hour. Get ready for round… https://t.co/h5n4dRO3Nw",0.4199,0.1,0.0,0.9,879,77,1
122,katyperry,04/15/2018,And that’s a wrap on the Asian leg of Witness The Tour! Fell in love with many different cherry… https://t.co/3d7vpN0k75,0.6696,0.2,0.0,0.8,878,78,1
123,katyperry,04/12/2018,😍👃🏼 https://t.co/HnVSLRIwQD,0.0,0.0,0.0,1.0,877,81,1
124,katyperry,04/12/2018,"I had a wonderful chat with 👑 @dualipa for @vmagazine, coming soon to a newsstand near you. Nice catching up with h… https://t.co/D6F7CrazHN",0.7579,0.265,0.0,0.735,876,81,1
125,katyperry,04/10/2018,"even when you don’t believe in love, love believes in you. ❤️",0.8555,0.433,0.0,0.567,875,83,1
126,katyperry,04/10/2018,To @laylaspring @LegitDominique @BrandonDMusic @kaykaydna @TrevorMcBane just because your #americanidol journey has… https://t.co/dMZOgov6qL,0.0,0.0,0.0,1.0,874,83,1
127,katyperry,04/10/2018,Unfortunately we had to make a drastic cut of 5 😭 If the show is still stuck in your DVR you better press play! And… https://t.co/yNBh6z2spC,-0.5562,0.151,0.281,0.568,873,83,1
128,katyperry,04/10/2018,🤗@hashtagcatie gives good hugs! @DennisLorenzo sounds like a flock of beautiful doves! @jonnybrenns did ballet!💃🏻… https://t.co/eNcG8BTWPN,0.9243,0.549,0.0,0.451,872,83,1
129,katyperry,04/10/2018,Caught up on #AmericanIdol on the ✈! Here are my highlights:,0.0,0.0,0.0,1.0,871,83,1
130,katyperry,04/10/2018,MFW when they tell us we have to send home 5 of the 12 contestants tonight 😩...BUT it’s time for ⭐ALL STAR DUETS⭐!… https://t.co/1AqyNy62PV,0.0,0.0,0.0,1.0,870,83,1
131,katyperry,04/09/2018,I can't wait for you to 👁witness👁 my baby bird @cynthialovely when she opens for me in Mexico!🎵❤Tickets at… https://t.co/nNOXNDlnDK,0.0,0.0,0.0,1.0,869,84,1
132,katyperry,04/09/2018,Who's ready for #americanidol ⁉️🙋🏼Live on Instagram from Singapore in 5 minutes! ⌚️ This Top 24 is so fresh n so cl… https://t.co/sFSu8jHvfK,0.7772,0.302,0.0,0.698,868,84,1
133,katyperry,04/07/2018,"Zomg this is me everyday after I read the whole internet. Lucky, there’s so much to learn in nature... 🌳 https://t.co/s0xEcWFiqn",0.4215,0.123,0.0,0.877,867,86,1
134,katyperry,04/07/2018,V Cute! https://t.co/Dqgw5v9a13,0.5093,0.767,0.0,0.233,866,86,1
135,katyperry,04/06/2018,Oh this is just puurrfect #KatyKatGloss was named Best Lip Lustre in @InStyle's Best Beauty Buys of 2018! Thank you… https://t.co/g66qfU58bb,0.9432,0.469,0.0,0.531,865,87,1
136,katyperry,04/05/2018,"On this day 50 years ago, they tried to silence his voice, but the #DreamStillLives ✌🏻 https://t.co/XMocaecbyI",0.6486,0.177,0.0,0.823,864,88,1
137,katyperry,04/04/2018,"was feeling homesick today, being on this leg of tour for over 4 weeks now and then I put on @KaceyMusgraves’s new… https://t.co/pb3WJ2hqIw",-0.0516,0.068,0.077,0.856,863,89,1
138,katyperry,04/03/2018,❤️❤️❤️ @maddiezahm ❤️❤️❤️ #americanidol,0.0,0.0,0.0,1.0,862,90,1
139,katyperry,04/03/2018,You’re not going to miss this dance @effiepassero. #americanidol,0.1139,0.153,0.0,0.847,861,90,1
140,katyperry,04/03/2018,"\m/ @CadeFoehner \m/ Keep that feather, keep catching those dreams. #americanidol",0.4019,0.213,0.0,0.787,860,90,1
141,katyperry,04/03/2018,HONEY! 🍯 #americanidol,0.0,0.0,0.0,1.0,859,90,1
142,katyperry,04/03/2018,👂🏻@calebleemusic WE ARE LISTENING 👂🏻AND WE LIKE WHAT WE HEAR! #americanidol,0.5461,0.261,0.0,0.739,858,90,1
143,katyperry,04/03/2018,"✨@MaraJustine1 There’s not just glitter on your nails 💅🏼 It’s in every pore, and it comes out every time you sing ✨ #americanidol",0.3182,0.081,0.0,0.919,857,90,1
144,katyperry,04/03/2018,".@JonnyBrenns If your family being here meant that much to ME, I can only imagine how it felt to you. Nearly cried… https://t.co/Jr1dJ22GCV",0.0,0.0,0.0,1.0,856,90,1
145,katyperry,04/03/2018,You DO belong here! And anywhere you want! @AdaVox #thatruntho #americanidol https://t.co/GX8B2CspFg,0.2225,0.146,0.0,0.854,855,90,1
146,katyperry,04/03/2018,"Out of the ashes, rises the phoenix @AdaVox #americanidol",0.0,0.0,0.0,1.0,854,90,1
147,katyperry,04/03/2018,"Your attitude will take you everywhere, @vmcqueenmusic 💔 I can’t wait to see what you do. #americanidol",-0.4767,0.0,0.162,0.838,853,90,1
