,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago,AgeOfTweet,TweetAgeType
214,taylorswift13,03/05/2018,✨✨✨✨✨✨✨✨✨✨✨✨✨ https://t.co/KHNRCaKfU0,0.0,0.0,0.0,1.0,86,118,1
215,taylorswift13,03/01/2018,I have a very exciting update to share... @Camila_Cabello and @charli_xcx will be the opening acts on the… https://t.co/cN3Wfgbvb3,0.5413,0.179,0.0,0.821,85,121,1
216,taylorswift13,02/05/2018,"Songs I’m loving right now 🎶
https://t.co/K62TYfJht6",0.5994,0.358,0.0,0.642,84,145,1
217,taylorswift13,01/12/2018,#EndGameMusicVideo out now. @edsheeran @1future https://t.co/z6EiFsLniY,0.0,0.0,0.0,1.0,83,170,1
218,taylorswift13,01/11/2018,"Tonight at midnight eastern. #EndGameMusicVideo
@1future @edsheeran https://t.co/XHRS02IXfY",0.0,0.0,0.0,1.0,82,171,1
219,taylorswift13,12/24/2017,RT @taylornation13: #TheSwiftLife is now available for Android! Get it on Google Play now: https://t.co/qguJHJ3qPL https://t.co/93evBchcNl,0.4003,0.152,0.0,0.848,81,189,2
220,taylorswift13,06/24/2018,"Angels 😇 
@RobbieWilliams
https://t.co/A6rx5WA0ie",0.4588,0.333,0.0,0.667,80,6,1
221,taylorswift13,05/25/2018,Amazing @JamesBayMusic! 👏👏👏👏👏👏👏👏👏👏👏👏👏 https://t.co/9RDrCEbKBc,0.6239,0.577,0.0,0.423,79,37,1
222,taylorswift13,05/22/2018,Thanks @vmagazine ❤️ See you tonight Seattle!! https://t.co/VB78rGXO7C,0.5399,0.303,0.0,0.697,78,39,1
223,taylorswift13,05/12/2018,RT @Variety: Taylor Swift Dazzles on Opening Night of 'Reputation' Tour @taylorswfit13 https://t.co/lGp9dgDYSr,0.2023,0.13,0.0,0.87,77,49,1
224,taylorswift13,05/12/2018,RT @RollingStone: Taylor Swift kicked off her 'Reputation' tour last night in Arizona. Rob Sheffield on why this trek is her finest yet htt…,-0.4215,0.066,0.131,0.803,76,49,1
225,taylorswift13,05/12/2018,RT @mercnews: Review: Taylor Swift delivers near-perfect pop show in Bay Area https://t.co/aOoOAMGCGV https://t.co/EQa5YuTRO9,0.2023,0.122,0.0,0.878,75,49,1
226,taylorswift13,05/11/2018,RT @charli_xcx: 💕CHARLI💕CAMILA💕TAYLOR💕 SEE U 2NIGHT SANTA CLARA !!!!!! https://t.co/dCaEIaFmRR,0.0,0.0,0.0,1.0,74,50,1
227,taylorswift13,05/05/2018,"RT @Camila_Cabello: ALSO ""10 SONGS FROM PAST ALBUMS"" MY HEAD IS SPINNING?!! WILL A HEY STEPHEN, OR CHANGE BE THROWN IN? ENCHANTED?! LONG LI…",0.0,0.0,0.0,1.0,73,56,1
228,taylorswift13,05/05/2018,RT @Camila_Cabello: THERE’S FOUR DAYS TILL THE REPUTATION TOUR HOLD MY WIG,0.0,0.0,0.0,1.0,72,56,1
229,taylorswift13,04/11/2018,It's National Siblings Day! Check out Austin's movie 😁 https://t.co/Zqx5hLj6of,0.5093,0.202,0.0,0.798,71,81,1
230,taylorswift13,03/30/2018,Vertical video for #Delicate out now. Only on @Spotify ✨ https://t.co/ZHvrH7k1PN https://t.co/nhcfIv97gR,0.3182,0.173,0.0,0.827,70,93,1
231,taylorswift13,03/29/2018,New video for #Delicate at midnight EST tonight. Only on @spotify  ✨ https://t.co/AHEY6LOSTz,0.3182,0.161,0.0,0.839,69,94,1
232,taylorswift13,03/12/2018,I know that it’s delicate... https://t.co/0H5EpgcFtd,0.0,0.0,0.0,1.0,68,111,1
233,taylorswift13,03/11/2018,DELICATE VIDEO WORLD PREMIERE ON @iHeartRadio MUSIC AWARDS ON @TBSNetwork!!! ✨💃✨ https://t.co/hhILI7bwn9,0.7609,0.395,0.0,0.605,67,111,1
234,taylorswift13,03/05/2018,✨✨✨✨✨✨✨✨✨✨✨✨✨ https://t.co/KHNRCaKfU0,0.0,0.0,0.0,1.0,66,118,1
235,taylorswift13,03/01/2018,I have a very exciting update to share... @Camila_Cabello and @charli_xcx will be the opening acts on the… https://t.co/cN3Wfgbvb3,0.5413,0.179,0.0,0.821,65,121,1
236,taylorswift13,02/05/2018,"Songs I’m loving right now 🎶
https://t.co/K62TYfJht6",0.5994,0.358,0.0,0.642,64,145,1
